symbol,timestamp,price,volume,market_cap,extracted_at
ADA,2025-06-22 20:00:00,0.5411301510006504,1046673222.5903796,19537396057.24764,2025-07-22 10:49:51.884295
BTC,2025-06-22 20:00:00,100852.58264648831,51287142390.02526,2005179769771.7349,2025-07-22 10:49:49.368629
ETH,2025-06-22 20:00:00,2227.4287266371684,28181442532.315876,268777741291.43988,2025-07-22 10:49:50.645508
ADA,2025-06-23 20:00:00,0.5832401178415064,923344856.19398,21057250286.824142,2025-07-22 10:49:51.884323
BTC,2025-06-23 20:00:00,105511.62437933135,50011797128.6837,2097741233586.5918,2025-07-22 10:49:49.368778
ETH,2025-06-23 20:00:00,2423.899644268608,25494295400.420887,292612668627.3885,2025-07-22 10:49:50.645513
ADA,2025-06-24 20:00:00,0.5872194649270592,716773448.9598132,21196882832.72242,2025-07-22 10:49:51.884326
BTC,2025-06-24 20:00:00,105976.06929808448,31704641076.941063,2107110352429.8032,2025-07-22 10:49:49.368819
ETH,2025-06-24 20:00:00,2446.539301545049,19669025068.963604,295402538889.65454,2025-07-22 10:49:50.645516
ADA,2025-06-25 20:00:00,0.5667721482568538,549499472.3311824,20470415241.919304,2025-07-22 10:49:51.884329
BTC,2025-06-25 20:00:00,107238.53045016268,30468274982.034847,2132141147369.0017,2025-07-22 10:49:49.368823
ETH,2025-06-25 20:00:00,2417.2267855277296,15513055665.262428,291827501114.87933,2025-07-22 10:49:50.645519
ADA,2025-06-26 20:00:00,0.5541621947716998,546164591.2662042,20010411784.30248,2025-07-22 10:49:51.884332
BTC,2025-06-26 20:00:00,106984.01253775663,24320699663.15122,2127292099754.93,2025-07-22 10:49:49.368827
ETH,2025-06-26 20:00:00,2415.031864876594,16271811388.723804,291547094716.2168,2025-07-22 10:49:50.645521
ADA,2025-06-27 20:00:00,0.5586998411211989,461343367.5389696,20174280342.176563,2025-07-22 10:49:51.884334
BTC,2025-06-27 20:00:00,107078.91560644074,25194306261.888832,2129020567385.9595,2025-07-22 10:49:49.368830
ETH,2025-06-27 20:00:00,2423.0302896731746,13100825617.816572,292419308271.8665,2025-07-22 10:49:50.645524
ADA,2025-06-28 20:00:00,0.5655976009022613,328696976.3556034,20424929514.86251,2025-07-22 10:49:51.884337
BTC,2025-06-28 20:00:00,107331.58548463577,8960877693.57604,2134239999929.6584,2025-07-22 10:49:49.368832
ETH,2025-06-28 20:00:00,2437.133001780241,5787313890.541637,294208600645.2538,2025-07-22 10:49:50.645526
ADA,2025-06-29 20:00:00,0.5775074724180472,546299719.7888314,20858414265.292507,2025-07-22 10:49:51.884340
BTC,2025-06-29 20:00:00,108396.61631317894,14881078675.366829,2155183166489.813,2025-07-22 10:49:49.368835
ETH,2025-06-29 20:00:00,2502.6672721177083,10236257918.833096,302158279316.21674,2025-07-22 10:49:50.645529
ADA,2025-06-30 20:00:00,0.5720180140652412,685730060.096957,20684142744.85075,2025-07-22 10:49:51.884343
BTC,2025-06-30 20:00:00,107132.79910701896,22489515582.41552,2130471589191.581,2025-07-22 10:49:49.368838
ETH,2025-06-30 20:00:00,2488.190781689803,16306915984.938057,300388851494.49866,2025-07-22 10:49:50.645531
ADA,2025-07-01 20:00:00,0.5421512626893101,631715565.0969181,19585607723.227657,2025-07-22 10:49:51.884346
BTC,2025-07-01 20:00:00,105613.39974163055,25033160828.30909,2100087563077.9324,2025-07-22 10:49:49.368840
ETH,2025-07-01 20:00:00,2405.1045592800183,12933967031.524443,290294455719.4809,2025-07-22 10:49:50.645534
ADA,2025-07-02 20:00:00,0.5846952591552708,934344132.0381689,21133767251.680595,2025-07-22 10:49:51.884348
BTC,2025-07-02 20:00:00,108824.44423167943,36395184773.06136,2163835371770.0977,2025-07-22 10:49:49.368843
ETH,2025-07-02 20:00:00,2574.067718495133,21862573614.17975,310930535640.4307,2025-07-22 10:49:50.645536
ADA,2025-07-03 20:00:00,0.5987839336899987,723259758.2613916,21633131946.871044,2025-07-22 10:49:51.884351
BTC,2025-07-03 20:00:00,109602.20483914016,29892049537.628605,2179664531219.9346,2025-07-22 10:49:49.368846
ETH,2025-07-03 20:00:00,2590.132231590221,19823369642.62606,312621047413.045,2025-07-22 10:49:50.645539
ADA,2025-07-04 20:00:00,0.5728146380802783,539620249.5139698,20697995165.973225,2025-07-22 10:49:51.884364
BTC,2025-07-04 20:00:00,108040.8919400104,24248906784.57383,2148601712907.3433,2025-07-22 10:49:49.368848
ETH,2025-07-04 20:00:00,2509.236345783362,16377116416.187033,302827514359.61035,2025-07-22 10:49:50.645541
ADA,2025-07-05 20:00:00,0.5760131698614164,287359327.05554503,20813202746.91737,2025-07-22 10:49:51.884367
BTC,2025-07-05 20:00:00,108217.46849992426,10042942280.966904,2152344091389.654,2025-07-22 10:49:49.368850
ETH,2025-07-05 20:00:00,2517.37917835065,6801276942.284494,304028836772.5733,2025-07-22 10:49:50.645544
ADA,2025-07-06 20:00:00,0.5857056935866781,379742988.53059584,21156942766.067593,2025-07-22 10:49:51.884369
BTC,2025-07-06 20:00:00,109215.19771840284,14638669497.351297,2171497503296.0474,2025-07-22 10:49:49.368853
ETH,2025-07-06 20:00:00,2571.358192115984,9051659015.949968,310345645222.7514,2025-07-22 10:49:50.645546
ADA,2025-07-07 20:00:00,0.5798100944867142,559194866.5817564,20943830668.335808,2025-07-22 10:49:51.884371
BTC,2025-07-07 20:00:00,108300.71675785031,25493246475.80407,2153777588647.4504,2025-07-22 10:49:49.368855
ETH,2025-07-07 20:00:00,2543.6317028067488,15947822897.049152,307013209348.5054,2025-07-22 10:49:50.645549
